GEO (Codes),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
EL54,"346,503","345,437","343,128","341,046","339,142","336,834","335,250","334,337","333,696","333,265","330,985","319,206",
EL61,"747,690","745,839","741,593","737,686","733,663","729,442","725,874","722,065","718,640","715,115","709,808","686,344",
EL62,"209,221","209,131","208,241","207,664","207,059","206,141","205,431","204,562","203,869","203,149","202,371","204,081",
EL63,"690,904","687,935","682,583","677,727","673,263","668,258","663,970","659,470","655,189","651,065","646,670","646,621",
EL64,"561,693","561,670","560,093","559,214","557,753","555,830","555,761","555,623","555,960","556,002","553,235","507,072",
EL65,"589,602","589,044","586,863","585,155","583,431","581,026","579,182","576,749","574,447","572,151","569,345","538,063",
ES11,"2,773,411","2,771,916","2,761,989","2,747,226","2,734,656","2,720,102","2,710,216","2,703,149","2,700,441","2,702,592","2,696,876","2,691,456",
ES12,"1,075,869","1,074,308","1,067,797","1,058,975","1,049,875","1,040,925","1,034,302","1,027,624","1,022,205","1,018,899","1,012,889","1,006,234",
ES13,"590,867","592,383","590,036","587,682","585,359","582,504","581,490","581,294","581,641","582,388","583,655","584,368",
ES21,"2,183,136","2,184,696","2,177,006","2,167,166","2,165,100","2,164,066","2,167,323","2,170,868","2,177,880","2,189,138","2,185,908","2,176,918",
ES22,"637,100","640,014","638,948","636,450","636,402","637,486","640,353","643,866","649,946","656,509","657,654","659,155",
ES23,"320,858","320,951","318,647","315,223","313,569","312,810","312,624","312,884","313,571","315,931","316,176","315,916",
ES24,"1,344,385","1,343,807","1,338,316","1,331,301","1,326,403","1,318,571","1,316,072","1,313,135","1,320,586","1,330,333","1,331,133","1,314,159",
ES30,"6,394,252","6,425,522","6,414,620","6,378,297","6,385,298","6,424,275","6,476,838","6,549,520","6,641,649","6,747,068","6,755,828","6,769,373",
ES41,"2,545,301","2,537,685","2,518,560","2,495,689","2,478,079","2,454,454","2,435,951","2,418,556","2,407,733","2,401,307","2,386,649","2,376,687",
ES42,"2,099,064","2,105,935","2,094,406","2,075,197","2,062,767","2,048,900","2,040,977","2,032,595","2,034,877","2,045,554","2,048,656","2,049,980",
ES43,"1,102,299","1,104,336","1,100,970","1,096,421","1,091,623","1,084,969","1,077,525","1,070,453","1,065,424","1,061,979","1,057,999","1,053,317",
ES51,"7,493,263","7,514,991","7,480,921","7,416,237","7,396,991","7,408,290","7,441,284","7,488,718","7,566,431","7,652,348","7,671,252","7,679,192",
ES52,"4,999,192","5,009,650","4,987,011","4,956,427","4,939,674","4,932,347","4,935,182","4,946,233","4,974,969","5,029,341","5,047,045","5,072,550",
ES53,"1,091,664","1,100,715","1,110,112","1,115,841","1,124,972","1,135,527","1,150,962","1,166,923","1,188,220","1,210,725","1,219,775","1,223,980",
